trial,sweep,seg,pos,site,residual
2,36,right,7,1,0.01228623186588408
2,37,right,1,7,0.012286231865884173
2,37,right,2,6,0.012286231865884173
2,37,right,3,5,0.012286231865884177
2,37,right,4,4,0.012286231865884232
2,37,right,5,3,0.01228623186588425
2,37,right,6,2,0.012286231865884253
2,37,right,7,1,0.01228623186588425
3,1,left,1,1,0.04125883237780666
3,1,left,2,2,0.04926557408593813
3,1,left,3,3,0.04934445237692643
3,1,left,4,4,0.054372968039088296
3,1,left,5,5,0.054966765778338554
3,1,left,6,6,0.06176154402753641
3,1,left,7,7,0.06207426956708678
3,2,left,1,1,0.06326948651907936
3,2,left,2,2,0.06326948651907938
3,2,left,3,3,0.0632735195921308
3,2,left,4,4,0.06327355917069087
3,2,left,5,5,0.06334743898112903
3,2,left,6,6,0.06351521749032646
3,2,left,7,7,0.06351760351474807
3,3,left,1,1,0.06356519706350992
3,3,left,2,2,0.06356519706350988
3,3,left,3,3,0.0635664065896162
3,3,left,4,4,0.0635664201137751
3,3,left,5,5,0.06356844229398677
3,3,left,6,6,0.0635743397324349
3,3,left,7,7,0.0635744262060394
3,4,left,1,1,0.06357642367609591
3,4,left,2,2,0.06357642367609588
3,4,left,3,3,0.06357664921241549
3,4,left,4,4,0.0635766514057711
3,4,left,5,5,0.06357670050424327
3,4,left,6,6,0.06357691110337305
3,4,left,7,7,0.06357692246875309
3,5,left,1,1,0.06357706869505593
3,5,left,2,2,0.06357706869505593
3,5,left,3,3,0.06357710693002577
3,5,left,4,4,0.06357710728036256
